Date,Model,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Sat May 30 05:05:21 2020,Student,64,10,0.93,0.5,0.8538427352905273,0.6482881280569142,0.6942404329339003,0.7010148321623731,0.6875957120980092,LabelledDataset- Consist_cost btw noise target
Sat May 30 05:05:32 2020,Teacher,64,10,0.93,0.5,0.8538427352905273,0.6367274344152957,0.67463162086818,0.7029045643153526,0.6485451761102603,Labelled Dataset- Consist_cost btw noise target
Sat May 30 05:13:29 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9150000214576721,0.6411738550466874,0.7165437302423604,0.6619078520441272,0.781010719754977,Labelled data_spacy
Sat May 30 05:55:32 2020,Student,64,10,0.9400000000000001,0.5,0.986228346824646,0.632281013783904,0.6526669466610667,0.7227906976744186,0.5949464012251149,LabelledDataset- Consist_cost btw noise target
Sat May 30 05:55:44 2020,Teacher,64,10,0.9400000000000001,0.5,0.986228346824646,0.6433970653623833,0.6835043409629045,0.7052117263843648,0.663093415007657,Labelled Dataset- Consist_cost btw noise target
Sat May 30 06:27:00 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9072222113609314,0.6429524232992441,0.6926903941829315,0.6924254016832441,0.6929555895865237,Labelled data
Sat May 30 07:07:32 2020,Student,64,10,0.9400000000000001,0.5,0.9653487205505371,0.6051578479324144,0.5842696629213483,0.7518072289156627,0.4777947932618683,LabelledDataset- Consist_cost btw noise target
Sat May 30 07:07:43 2020,Teacher,64,10,0.9400000000000001,0.5,0.9653487205505371,0.6336149399733215,0.6583747927031509,0.7179023508137432,0.6079632465543645,Labelled Dataset- Consist_cost btw noise target
Sat May 30 07:14:50 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9238888621330261,0.637616718541574,0.6518581802648441,0.7371980676328502,0.5842266462480857,Labelled data
Sat May 30 07:49:21 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8866666555404663,0.6278345931525122,0.655980271270037,0.7080745341614907,0.6110260336906586,Labelled data
Sat May 30 08:31:31 2020,Student,64,10,0.9400000000000001,0.5,0.9351399540901184,0.6282792352156514,0.637467476149176,0.735,0.5627871362940275,LabelledDataset- Consist_cost btw noise target
Sat May 30 08:31:42 2020,Teacher,64,10,0.9400000000000001,0.5,0.9351399540901184,0.6385060026678524,0.6547770700636943,0.7349857006673022,0.5903522205206738,Labelled Dataset- Consist_cost btw noise target
Sat May 30 08:38:55 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9211111068725586,0.5771453979546465,0.5064867669953296,0.785829307568438,0.37366003062787134,Labelled data
Sat May 30 09:21:00 2020,Student,64,10,0.9400000000000001,0.5,0.8716126084327698,0.6478434859937751,0.6762060506950123,0.7254385964912281,0.6332312404287902,LabelledDataset- Consist_cost btw noise target
Sat May 30 09:21:11 2020,Teacher,64,10,0.9400000000000001,0.5,0.8716126084327698,0.6429524232992441,0.6672192291753005,0.7271906052393857,0.6163859111791731,Labelled Dataset- Consist_cost btw noise target
Sat May 30 09:28:24 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8999999761581421,0.6282792352156514,0.6522462562396006,0.7140255009107468,0.6003062787136294,Labelled data
Sat May 30 10:10:59 2020,Student,64,10,0.9400000000000001,0.5,0.9133718609809875,0.5944864384170743,0.5568513119533529,0.761968085106383,0.4387442572741195,LabelledDataset- Consist_cost btw noise target
Sat May 30 10:11:11 2020,Teacher,64,10,0.9400000000000001,0.5,0.9133718609809875,0.6420631391729658,0.6627565982404692,0.7317298797409806,0.6056661562021439,Labelled Dataset- Consist_cost btw noise target
Sat May 30 10:18:27 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8961111307144165,0.630057803468208,0.6615134255492269,0.7057291666666666,0.622511485451761,Labelled data
Sat May 30 11:00:58 2020,Student,64,10,0.9400000000000001,0.5,0.8271878957748413,0.5749221876389506,0.5239043824701196,0.7492877492877493,0.40275650842266464,LabelledDataset- Consist_cost btw noise target
Sat May 30 11:01:10 2020,Teacher,64,10,0.9400000000000001,0.5,0.8271878957748413,0.6082703423743886,0.6008155867693702,0.7358490566037735,0.5076569678407351,Labelled Dataset- Consist_cost btw noise target
Sat May 30 11:08:22 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9144444465637207,0.6313917296576256,0.6403470715835141,0.7387387387387387,0.5650842266462481,Labelled data
Sat May 30 11:51:01 2020,Student,64,10,0.9500000000000001,0.5,0.944913387298584,0.642507781236105,0.6683168316831682,0.7245080500894454,0.6202143950995406,LabelledDataset- Consist_cost btw noise target
Sat May 30 11:51:13 2020,Teacher,64,10,0.9500000000000001,0.5,0.944913387298584,0.658070253445976,0.6983130639466457,0.7160096540627514,0.6814701378254211,Labelled Dataset- Consist_cost btw noise target
Sat May 30 11:58:32 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8688889145851135,0.6136060471320587,0.6454508363933088,0.6908296943231441,0.6056661562021439,Labelled data
Sat May 30 19:09:35 2020,Supervised_BILSTM,64,10,NaN,NaN,0.6316666603088379,0.6184971098265896,0.7435744172145846,0.6098039215686275,0.9525267993874426,Labelled data
Sat May 30 19:59:06 2020,Student,64,10,0.95,0.5,0.9822301268577576,0.624722098710538,0.6211849192100539,0.7505422993492408,0.5298621745788668,LabelledDataset- Consist_cost btw noise target
Sat May 30 19:59:19 2020,Teacher,64,10,0.95,0.5,0.9822301268577576,0.6571809693196976,0.6980023501762632,0.714514835605453,0.6822358346094947,Labelled Dataset- Consist_cost btw noise target
Sat May 30 20:07:27 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8711110949516296,0.6358381502890174,0.6843930635838149,0.6889061287820015,0.6799387442572741,Labelled data
Sat May 30 20:57:31 2020,Student,64,10,0.95,0.5,0.8262994289398193,0.6087149844375278,0.6239316239316239,0.7059961315280464,0.55895865237366,LabelledDataset- Consist_cost btw noise target
Sat May 30 20:57:44 2020,Teacher,64,10,0.95,0.5,0.8262994289398193,0.6024899955535794,0.6092657342657343,0.709775967413442,0.5336906584992342,Labelled Dataset- Consist_cost btw noise target
Sat May 30 21:06:13 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8972222208976746,0.6571809693196976,0.7276580713528789,0.6754098360655738,0.7886676875957122,Labelled data
Sat May 30 21:58:31 2020,Student,64,10,0.95,0.5,0.8227454423904419,0.6238328145842597,0.6850335070737156,0.6666666666666666,0.7044410413476263,LabelledDataset- Consist_cost btw noise target
Sat May 30 21:58:44 2020,Teacher,64,10,0.95,0.5,0.8227454423904419,0.6278345931525122,0.6914854404718024,0.6666666666666666,0.7182235834609495,Labelled Dataset- Consist_cost btw noise target
Sat May 30 22:07:17 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9111111164093018,0.6113828368163629,0.5972350230414746,0.75,0.49617151607963245,Labelled data
Sat May 30 22:54:05 2020,Student,64,10,0.95,0.5,0.9626832604408264,0.6549577590040018,0.7222619899785255,0.6780913978494624,0.7725880551301685,LabelledDataset- Consist_cost btw noise target
Sat May 30 22:54:17 2020,Teacher,64,10,0.95,0.5,0.9626832604408264,0.6611827478879502,0.7122356495468277,0.702682563338301,0.722052067381317,Labelled Dataset- Consist_cost btw noise target
Sat May 30 23:02:07 2020,Supervised_BILSTM,64,10,NaN,NaN,0.6944444179534912,0.6162738995108937,0.6892329852358661,0.6505778382053025,0.7327718223583461,Labelled data
Sat May 30 23:46:35 2020,Student,64,10,0.96,0.5,0.8991559147834778,0.6336149399733215,0.6655844155844156,0.7081174438687392,0.6278713629402757,LabelledDataset- Consist_cost btw noise target
Sat May 30 23:46:47 2020,Teacher,64,10,0.96,0.5,0.8991559147834778,0.6278345931525122,0.6448875689435725,0.7231208372978116,0.5819295558958653,Labelled Dataset- Consist_cost btw noise target
Sat May 30 23:54:25 2020,Supervised_BILSTM,64,10,NaN,NaN,0.878333330154419,0.6456202756780791,0.6766734279918863,0.719585849870578,0.6385911179173047,Labelled data
Sun May 31 00:38:51 2020,Student,64,10,0.96,0.5,0.903598427772522,0.6393952867941307,0.6815861798193953,0.6994359387590653,0.664624808575804,LabelledDataset- Consist_cost btw noise target
Sun May 31 00:39:03 2020,Teacher,64,10,0.96,0.5,0.903598427772522,0.6318363717207648,0.6449399656946827,0.732943469785575,0.5758039816232772,Labelled Dataset- Consist_cost btw noise target
Sun May 31 00:46:43 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9483333230018616,0.653179190751445,0.7498396407953817,0.6451434878587197,0.8950995405819295,Labelled data
Sun May 31 01:31:15 2020,Student,64,10,0.96,0.5,0.8778320550918579,0.6478434859937751,0.6666666666666667,0.7401869158878505,0.6064318529862175,LabelledDataset- Consist_cost btw noise target
Sun May 31 01:31:27 2020,Teacher,64,10,0.96,0.5,0.8778320550918579,0.653179190751445,0.6887470071827614,0.7191666666666666,0.6607963246554365,Labelled Dataset- Consist_cost btw noise target
Sun May 31 01:39:01 2020,Supervised_BILSTM,64,10,NaN,NaN,0.929444432258606,0.6616273899510894,0.7157265595816211,0.6987600291757841,0.7335375191424196,Labelled data
Sun May 31 02:23:19 2020,Student,64,10,0.96,0.5,0.9804531335830688,0.642507781236105,0.6655574043261231,0.7285974499089253,0.6125574272588055,LabelledDataset- Consist_cost btw noise target
Sun May 31 02:23:31 2020,Teacher,64,10,0.96,0.5,0.9804531335830688,0.6589595375722543,0.6952721493841875,0.7225433526011561,0.6699846860643185,Labelled Dataset- Consist_cost btw noise target
Sun May 31 02:31:02 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9122222065925598,0.6224988883948421,0.6397963512940178,0.7174119885823026,0.5773353751914242,Labelled data
Sun May 31 03:15:35 2020,Student,64,10,0.97,0.5,0.8462905287742615,0.5638061360604714,0.502283105022831,0.7443609022556391,0.3790199081163859,LabelledDataset- Consist_cost btw noise target
Sun May 31 03:15:47 2020,Teacher,64,10,0.97,0.5,0.8462905287742615,0.6024899955535794,0.6102877070619005,0.708502024291498,0.5359877488514548,Labelled Dataset- Consist_cost btw noise target
Sun May 31 03:23:30 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8894444704055786,0.634948866162739,0.6971597196606418,0.6725978647686833,0.723583460949464,Labelled data
Sun May 31 04:08:07 2020,Student,64,10,0.97,0.5,0.9822301268577576,0.6478434859937751,0.6869565217391305,0.7099673202614379,0.6653905053598775,LabelledDataset- Consist_cost btw noise target
Sun May 31 04:08:19 2020,Teacher,64,10,0.97,0.5,0.9822301268577576,0.640284570920409,0.6752308309915696,0.7097046413502109,0.6439509954058193,Labelled Dataset- Consist_cost btw noise target
Sun May 31 04:15:55 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9161111116409302,0.6607381058248111,0.706199460916442,0.710302091402014,0.7021439509954058,Labelled data
Sun May 31 05:00:21 2020,Student,64,10,0.97,0.5,0.8911594748497009,0.6447309915518008,0.7039644312708411,0.6819813352476669,0.7274119448698315,LabelledDataset- Consist_cost btw noise target
Sun May 31 05:00:33 2020,Teacher,64,10,0.97,0.5,0.8911594748497009,0.624722098710538,0.6358930112165659,0.7282608695652174,0.5643185298621746,Labelled Dataset- Consist_cost btw noise target
Sun May 31 05:08:10 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9383333325386047,0.6705202312138728,0.7137891077636154,0.7201870615744349,0.7075038284839203,Labelled data
Sun May 31 05:54:06 2020,Student,64,10,0.97,0.5,0.8120835423469543,0.47087594486438417,0.2681426814268143,0.68125,0.1669218989280245,LabelledDataset- Consist_cost btw noise target
Sun May 31 05:54:18 2020,Teacher,64,10,0.97,0.5,0.8120835423469543,0.5491329479768786,0.45775401069518723,0.7588652482269503,0.327718223583461,Labelled Dataset- Consist_cost btw noise target
Sun May 31 06:02:05 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9449999928474426,0.6536238328145842,0.7100855973204317,0.6908037653874004,0.7304747320061256,Labelled data
Sun May 31 06:20:25 2020,Supervised_BILSTM,64,10,NaN,NaN,0.8855555653572083,0.6509559804357492,0.7559838358719304,0.6363160648874935,0.9310872894333844,Labelled data
Sun May 31 06:28:04 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9333333373069763,0.6282792352156514,0.6281138790035588,0.7494692144373672,0.5405819295558959,Labelled data
Sun May 31 07:09:14 2020,Student,64,10,0.98,0.5,0.9435806274414062,0.6558470431302801,0.7327348066298343,0.6672955974842767,0.8124042879019908,LabelledDataset- Consist_cost btw noise target
Sun May 31 07:09:28 2020,Teacher,64,10,0.98,0.5,0.9435806274414062,0.6527345486883059,0.6904478795085215,0.7156943303204601,0.6669218989280244,Labelled Dataset- Consist_cost btw noise target
Sun May 31 07:16:31 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9233333468437195,0.6478434859937751,0.6956187548039969,0.6983024691358025,0.6929555895865237,Labelled data
Sun May 31 07:57:37 2020,Student,64,10,0.98,0.5,0.9813416004180908,0.6473988439306358,0.6708177667081777,0.7325475974614687,0.6186830015313936,LabelledDataset- Consist_cost btw noise target
Sun May 31 07:57:48 2020,Teacher,64,10,0.98,0.5,0.9813416004180908,0.6465095598043575,0.6795646916565901,0.7174468085106382,0.6454823889739663,Labelled Dataset- Consist_cost btw noise target
Sun May 31 08:04:56 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9361110925674438,0.6433970653623833,0.6859827721221613,0.7019230769230769,0.6707503828483921,Labelled data
Sun May 31 08:45:47 2020,Student,64,10,0.98,0.5,0.917814314365387,0.5993775011116051,0.6091106290672451,0.7027027027027027,0.5375191424196019,LabelledDataset- Consist_cost btw noise target
Sun May 31 08:45:58 2020,Teacher,64,10,0.98,0.5,0.917814314365387,0.6309470875944865,0.6760343481654957,0.6894904458598726,0.663093415007657,Labelled Dataset- Consist_cost btw noise target
Sun May 31 08:53:03 2020,Supervised_BILSTM,64,10,NaN,NaN,0.9516666531562805,0.6229435304579813,0.6880058866813833,0.6621813031161473,0.7159264931087289,Labelled data
Sun May 31 09:33:58 2020,Student,64,10,0.98,0.5,0.987116813659668,0.6345042240995998,0.6804043545878694,0.6911532385466035,0.6699846860643185,LabelledDataset- Consist_cost btw noise target
Sun May 31 09:34:09 2020,Teacher,64,10,0.98,0.5,0.987116813659668,0.6385060026678524,0.6605427974947807,0.7263544536271809,0.6056661562021439,Labelled Dataset- Consist_cost btw noise target
