Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Sun Jun  7 09:03:37 2020,Supervised_BILSTM,0.0005,64,15,NaN,NaN,1.0,0.6194926568758344,0.6336760925449872,0.6116625310173698,0.6573333333333333,Labelled data- Equal label
Sun Jun  7 10:12:25 2020,Student,0.0005,64,15,0.99,0.5,0.9817615747451782,0.5914552736982643,0.46782608695652184,0.6725,0.3586666666666667,LabelledDataset- equal Label
Sun Jun  7 10:12:33 2020,Teacher,0.0005,64,15,0.99,0.5,0.9817615747451782,0.5921228304405874,0.51699604743083,0.6349514563106796,0.436,Labelled Dataset- equal label
Sun Jun  7 10:24:00 2020,Supervised_BILSTM,0.0005,64,15,NaN,NaN,1.0,0.6121495327102804,0.6165016501650166,0.6104575163398693,0.6226666666666667,Labelled data- Equal label
Sun Jun  7 11:31:13 2020,Student,0.0005,64,15,0.99,0.5,1.0,0.5841121495327103,0.538860103626943,0.6056572379367721,0.48533333333333334,LabelledDataset- equal Label
Sun Jun  7 11:31:21 2020,Teacher,0.0005,64,15,0.99,0.5,1.0,0.5914552736982643,0.5335365853658537,0.6227758007117438,0.4666666666666667,Labelled Dataset- equal label
Sun Jun  7 11:42:18 2020,Supervised_BILSTM,0.0005,64,15,NaN,NaN,0.9961068034172058,0.602803738317757,0.5753033547466095,0.6190476190476191,0.5373333333333333,Labelled data- Equal label
Sun Jun  7 12:48:27 2020,Student,0.0005,64,15,0.99,0.5,0.9995551705360413,0.562082777036048,0.5246376811594203,0.5746031746031746,0.4826666666666667,LabelledDataset- equal Label
Sun Jun  7 12:48:35 2020,Teacher,0.0005,64,15,0.99,0.5,0.9995551705360413,0.5734312416555407,0.5058004640371229,0.6022099447513812,0.436,Labelled Dataset- equal label
Sun Jun  7 12:59:29 2020,Supervised_BILSTM,0.0005,64,15,NaN,NaN,1.0,0.6268357810413885,0.615278733654508,0.635846372688478,0.596,Labelled data- Equal label
Sun Jun  7 14:06:02 2020,Student,0.0005,64,15,0.99,0.5,1.0,0.5841121495327103,0.4795321637426901,0.6420581655480985,0.38266666666666665,LabelledDataset- equal Label
Sun Jun  7 14:06:10 2020,Teacher,0.0005,64,15,0.99,0.5,1.0,0.5781041388518025,0.4836601307189543,0.6244725738396625,0.39466666666666667,Labelled Dataset- equal label
Sun Jun  7 14:17:10 2020,Supervised_BILSTM,0.0005,64,15,NaN,NaN,1.0,0.6328437917222964,0.6323529411764707,0.6340482573726541,0.6306666666666667,Labelled data- Equal label
Sun Jun  7 15:22:13 2020,Student,0.0005,64,15,0.99,0.5,1.0,0.5987983978638184,0.5443517816527673,0.6309314586994728,0.4786666666666667,LabelledDataset- equal Label
Sun Jun  7 15:22:21 2020,Teacher,0.0005,64,15,0.99,0.5,1.0,0.5987983978638184,0.5457294028722599,0.6300174520069808,0.48133333333333334,Labelled Dataset- equal label
Sun Jun  7 15:33:15 2020,Supervised_BILSTM,0.0005,64,15,NaN,NaN,1.0,0.6268357810413885,0.619986403806934,0.6324549237170597,0.608,Labelled data- Equal label
Sun Jun  7 16:37:21 2020,Student,0.0005,64,15,0.99,0.5,0.998665452003479,0.5994659546061415,0.5260663507109006,0.6453488372093024,0.444,LabelledDataset- equal Label
Sun Jun  7 16:37:29 2020,Teacher,0.0005,64,15,0.99,0.5,0.998665452003479,0.5947930574098799,0.5507031828275352,0.6189683860232945,0.496,Labelled Dataset- equal label
