Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,F1_Score,Precision,Recall,comment
Wed Jun 10 06:25:25 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.85761958360672,0.6321762349799733,0.6666666666666666,0.6101882613510521,0.7346666666666667,Labelled data- Equal label
Wed Jun 10 08:06:40 2020,Student,0.0001,64,25,0.98,0.5,0.9991103410720825,0.6014686248331108,0.5439266615737204,0.6368515205724508,0.4746666666666667,LabelledDataset- equal Label
Wed Jun 10 08:06:48 2020,Teacher,0.0001,64,25,0.98,0.5,0.9991103410720825,0.6048064085447263,0.5555555555555556,0.6357388316151202,0.49333333333333335,Labelled Dataset- pre training equal label
Wed Jun 10 08:20:32 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.8737486004829407,0.5500667556742324,0.28297872340425534,0.7,0.17733333333333334,Labelled data- Equal label
Wed Jun 10 10:14:09 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.885428249835968,0.6134846461949266,0.6493034524530586,0.5948945615982242,0.7146666666666667,Labelled data- Equal label
Wed Jun 10 11:42:44 2020,Student,0.0001,64,25,0.98,0.5,0.998665452003479,0.6081441922563418,0.5674281503316139,0.6342668863261944,0.5133333333333333,LabelledDataset- equal Label
Wed Jun 10 11:42:51 2020,Teacher,0.0001,64,25,0.98,0.5,0.998665452003479,0.6068090787716955,0.5500381970970206,0.6440071556350626,0.48,Labelled Dataset- pre training equal label
Wed Jun 10 11:56:08 2020,Supervised_BILSTM,0.0001,64,20,NaN,NaN,0.8114571571350098,0.5473965287049399,0.4415156507413509,0.5775862068965517,0.35733333333333334,Labelled data- Equal label
