Date,Model,Learning Rate,Batch_Size,Epoch,Alpha,Ratio,Train_Accuracy,Test_Accuracy,Precision_True,Precision_Fake,Recall_True,Recall_Fake,F1_Score_True,F1_Score_Fake,Classification_Loss,comment
Sun Aug 30 14:37:27 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.48360655737704916,0.5111111111111111,0.4675324675324675,0.359375,0.6206896551724138,0.4220183486238532,0.5333333333333333,7.811963081359863,label
Sun Aug 30 14:37:32 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.48360655737704916,0.5227272727272727,0.46153846153846156,0.35384615384615387,0.631578947368421,0.4220183486238532,0.5333333333333333,7.853416919708252,label
Sun Aug 30 14:37:37 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.48770491803278687,0.5154639175257731,0.46938775510204084,0.390625,0.5948275862068966,0.4444444444444444,0.5247148288973383,7.790200710296631,label
Sun Aug 30 14:37:42 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.5061728395061729,0.5476190476190477,0.48427672955974843,0.359375,0.6695652173913044,0.4339622641509434,0.562043795620438,7.839819431304932,label
Sun Aug 30 14:37:47 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.4732510288065844,0.43529411764705883,0.4936708860759494,0.3162393162393162,0.6190476190476191,0.3663366336633664,0.5492957746478874,7.626662254333496,label
Sun Aug 30 14:37:52 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.5720164609053497,0.5631067961165048,0.5785714285714286,0.49572649572649574,0.6428571428571429,0.5272727272727272,0.6090225563909775,7.668981552124023,label
Sun Aug 30 14:37:57 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.5020576131687243,0.47,0.5244755244755245,0.40869565217391307,0.5859375,0.43720930232558136,0.5535055350553505,7.639462947845459,label
Sun Aug 30 14:38:02 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.49794238683127573,0.5544554455445545,0.45774647887323944,0.42105263157894735,0.5909090909090909,0.47863247863247865,0.5158730158730159,7.835640907287598,label
Sun Aug 30 14:38:07 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.522633744855967,0.5789473684210527,0.4864864864864865,0.4198473282442748,0.6428571428571429,0.4867256637168142,0.5538461538461539,7.844000339508057,label
Sun Aug 30 14:38:12 2020,Label Propogation,NaN,NaN,NaN,NaN,NaN,NaN,0.5267489711934157,0.5841584158415841,0.4859154929577465,0.44696969696969696,0.6216216216216216,0.5064377682403434,0.5454545454545454,7.8249311447143555,label
